"","Number","X.","Position.F1","Position.F2","Position.F3","Assign.F1","Assign.F2","Assign.F3","Height","Volume","Line.Width.F1..Hz.","Line.Width.F2..Hz.","Line.Width.F3..Hz.","Merit","Details","Fit.Method","Vol..Method"
"225",225,226,173.60129,64.8202,163.89325,NA,NA,NA,2.39e+09,5.25e+10,96.35769,168.07179,163.7151,1,"None","parabolic","box sum"
"227",227,228,166.97426,62.51511,163.6869,NA,NA,NA,2.3e+09,4.81e+10,99.14372,130.63675,102.44876,1,"None","parabolic","box sum"
"233",233,234,129.51849,55.58557,163.68631,NA,NA,NA,2.76e+09,5.86e+10,92.16857,163.3023,104.86449,1,"None","parabolic","box sum"
"234",234,235,68.07434,54.95579,163.72448,NA,NA,NA,2.73e+09,6.17e+10,135.32941,136.22224,159.11893,1,"None","parabolic","box sum"
"237",237,238,27.36343,53.43048,163.77947,NA,NA,NA,2.57e+09,5.77e+10,112.41827,125.72467,169.53591,1,"None","parabolic","box sum"
"241",241,242,45.30042,51.38925,163.72443,NA,NA,NA,2.34e+09,5.2e+10,91.73741,155.82216,135.33763,1,"None","parabolic","box sum"
"242",242,243,19.01957,50.56937,163.55787,NA,NA,NA,2.75e+09,6.11e+10,119.25326,160.64203,107.88219,1,"None","parabolic","box sum"
"252",252,253,25.36052,42.6667,163.60333,NA,NA,NA,2.95e+09,6.77e+10,171.59786,205.66183,114.73425,1,"None","parabolic","box sum"
"258",258,259,67.9458,67.06426,163.45351,NA,NA,NA,2.79e+09,5.77e+10,130.38272,151.16699,91.17083,1,"None","parabolic","box sum"
"259",259,260,136.64508,66.6493,163.23638,NA,NA,NA,2.27e+09,4.94e+10,114.7939,133.53078,126.26477,1,"None","parabolic","box sum"
"263",263,264,67.79929,61.68179,163.31636,NA,NA,NA,2.36e+09,5.48e+10,126.4107,185.22954,135.81959,1,"None","parabolic","box sum"
"268",268,269,35.08411,55.02408,163.34572,NA,NA,NA,2.33e+09,5.03e+10,94.22175,142.16238,119.50949,1,"None","parabolic","box sum"
"269",269,270,19.51505,53.53607,163.40768,NA,NA,NA,2.51e+09,5.43e+10,100.49734,124.94737,141.03123,1,"None","parabolic","box sum"
"271",271,272,181.08842,52.83154,163.37527,NA,NA,NA,2.34e+09,5.16e+10,116.77014,133.60286,125.99939,1,"None","parabolic","box sum"
"272",272,273,178.35067,52.62816,163.42321,NA,NA,NA,2.81e+09,6.15e+10,141.48637,130.22494,118.16554,1,"None","parabolic","box sum"
"282",282,283,71.49273,70.44633,162.94782,NA,NA,NA,2.27e+09,4.97e+10,173.41776,127.10754,147.08953,1,"None","parabolic","box sum"
"288",288,289,21.46027,65.3577,162.89232,NA,NA,NA,2.92e+09,6.33e+10,135.38804,160.09013,98.15278,1,"None","parabolic","box sum"
"292",292,293,40.22572,63.95864,162.89049,NA,NA,NA,2.42e+09,5.47e+10,114.18931,152.20955,146.8893,1,"None","parabolic","box sum"
"298",298,299,63.977,60.52084,163.16795,NA,NA,NA,2.37e+09,5.27e+10,156.086,182.35794,109.60771,1,"None","parabolic","box sum"
"304",304,305,28.71188,54.94314,163.01301,NA,NA,NA,2.79e+09,5.98e+10,112.1178,160.68,111.73731,1,"None","parabolic","box sum"
"307",307,308,36.04038,52.60699,162.93871,NA,NA,NA,2.51e+09,5.66e+10,221.80012,141.69133,124.82328,1,"None","parabolic","box sum"
"308",308,309,63.67937,52.10822,162.90558,NA,NA,NA,2.64e+09,5.43e+10,93.26661,132.69246,98.78389,1,"None","parabolic","box sum"
"312",312,313,177.45105,39.62417,163.1324,NA,NA,NA,2.26e+09,4.94e+10,103.80231,148.24229,115.37706,1,"None","parabolic","box sum"
"321",321,322,134.91228,65.56358,162.64351,NA,NA,NA,2.73e+09,6.47e+10,176.1586,179.59085,134.81447,1,"None","parabolic","box sum"
"325",325,326,56.46984,60.80013,162.60276,NA,NA,NA,2.34e+09,5.4e+10,137.60367,172.67022,133.72388,1,"None","parabolic","box sum"
"329",329,330,126.69967,56.71025,162.64795,NA,NA,NA,2.33e+09,5.28e+10,114.1661,142.80075,157.15173,1,"None","parabolic","box sum"
"330",330,331,130.49502,53.50245,162.68783,NA,NA,NA,2.62e+09,5.7e+10,89.98958,149.4118,140.78205,1,"None","parabolic","box sum"
"336",336,337,27.67934,46.70546,162.68683,NA,NA,NA,2.44e+09,5.53e+10,127.88616,145.60497,163.99196,1,"None","parabolic","box sum"
"339",339,340,174.52737,42.41152,162.76268,NA,NA,NA,2.33e+09,5.28e+10,111.5355,207.4042,125.64892,1,"None","parabolic","box sum"
"342",342,343,58.02429,66.91657,162.3924,NA,NA,NA,2.43e+09,5.03e+10,91.16091,125.74115,114.78838,1,"None","parabolic","box sum"
"344",344,345,40.37764,63.96762,162.51082,NA,NA,NA,2.63e+09,6.18e+10,137.29344,214.99324,137.2012,1,"None","parabolic","box sum"
"346",346,347,69.98554,59.56702,162.49835,NA,NA,NA,2.76e+09,6.59e+10,164.38179,214.76376,135.0579,1,"None","parabolic","box sum"
"348",348,349,26.15423,53.94726,162.39506,NA,NA,NA,2.44e+09,5.29e+10,144.08201,120.99743,126.29065,1,"None","parabolic","box sum"
"353",353,354,19.50938,47.71039,162.22392,NA,NA,NA,2.48e+09,5.58e+10,141.92012,200.86783,110.72308,1,"None","parabolic","box sum"
"360",360,361,25.50863,41.51561,162.36147,NA,NA,NA,2.34e+09,5.11e+10,120.89239,107.87338,159.90556,1,"None","parabolic","box sum"
"376",376,377,70.31426,59.35908,162.06863,NA,NA,NA,2.32e+09,5.15e+10,203.27382,150.32971,122.57225,1,"None","parabolic","box sum"
"377",377,378,26.44435,58.45009,162.12147,NA,NA,NA,2.31e+09,5.28e+10,118.90638,170.48183,328.54359,1,"None","parabolic","box sum"
"378",378,379,55.52496,58.06984,162.02892,NA,NA,NA,2.63e+09,5.76e+10,120.58948,145.55991,118.04431,1,"None","parabolic","box sum"
"379",379,380,37.92992,57.71015,162.04322,NA,NA,NA,2.81e+09,6.17e+10,98.69699,179.07599,124.37135,1,"None","parabolic","box sum"
"383",383,384,130.51234,53.69597,162.19393,NA,NA,NA,2.43e+09,5.44e+10,87.52844,139.50837,150.61113,1,"None","parabolic","box sum"
"384",384,385,26.32042,53.74179,162.06164,NA,NA,NA,2.4e+09,5.3e+10,102.15357,130.18531,164.60107,1,"None","parabolic","box sum"
"385",385,386,42.46026,52.79106,162.10153,NA,NA,NA,2.86e+09,6.45e+10,92.20399,163.8155,284.60929,1,"None","parabolic","box sum"
"401",401,402,21.58473,66.07524,161.70388,NA,NA,NA,2.55e+09,5.83e+10,90.56975,157.9344,170.16643,1,"None","parabolic","box sum"
"403",403,404,175.05096,64.12476,161.69218,NA,NA,NA,2.95e+09,6.82e+10,126.79392,170.3577,163.13176,1,"None","parabolic","box sum"
"406",406,407,55.62052,62.16763,161.76115,NA,NA,NA,2.5e+09,5.71e+10,110.35165,188.95522,129.6198,1,"None","parabolic","box sum"
"407",407,408,175.90901,60.98655,161.66094,NA,NA,NA,2.28e+09,5.09e+10,105.21685,125.14389,168.40639,1,"None","parabolic","box sum"
"409",409,410,69.69283,59.46145,161.69882,NA,NA,NA,2.65e+09,5.91e+10,106.28436,123.42823,178.43152,1,"None","parabolic","box sum"
"410",410,411,127.11356,58.65866,161.81568,NA,NA,NA,2.87e+09,6.1e+10,102.23907,132.70289,120.84728,1,"None","parabolic","box sum"
